root,meaning,origin,sample_words
"ab-, a-, abs-, au-","away from, down, off",Latin,"abdication, abduction, aberrant, abnormal, abrasion, absent, absorb, abstain, abstemious, abstraction, aversion, avulsion"
abac-,slab,Greek,"abaciscus, abacus, abax"
"ac-, acm-, acr-",point,Greek,"Acidanthera, acme, acmeism, acmesthesia, acmic, acne"
"ac-, ace-",cure,Greek,"aceology, autacoid, panacea"
academ-,Akademos,Greek,"academe, academia, academic, academy"
acanth-,thorn,Greek,"Acanthaster, Acanthion, acanthite, Acanthocephala, acanthocephaliasis, acanthocyte, Acanthomintha, Acanthosaura, Acanthus, Metriacanthosaurus, neuroacanthocytosis"
acar-,mite,Greek,"acariasis, acarid, acariphagous, acaroid, acarology, acarophobia, Acarus"
accipitr-,hawk,Latin,"Accipiter, accipitrine"
"acer-, acri-","bitter, sharp, sour",Latin,"acerbic, acrid, acrimonious, acrimony, exacerbate"
acet-,"sour, vinegar",Latin,"acetabulum, acetate, acetic, acetone, acetum, triacetate"
acid-,"acidic, sour",Latin,"acidiferous, acidity, acidosis, acidulation, acidulous"
acr-,"height, summit, tip, top",Greek,"acrobat, acrobatics, acrochordon, acromegalia, acromegaly, acromion, acronym, acrophobia, acropolis, acrostic, acroterion, acrotomophilia"
actin-,"beam, ray",Greek,"actinic, actinism, actinium, actinocerid, actinodrome, actinoid, actinomere, actinometer, actinomorphic, Actinomyces, actinophryid, actinopod, Actinopterygii, actinotherapy, Actinozoa"
"acu-, acut-","sharp, pointed",Latin,"acerose, acupuncture, acumen, acute, acutifoliate"
"ad-, a-, ac-, af-, ag-, al-, am-, an-, ap-, ar-, as-, at-",movement to or toward; in addition to,Latin,"accept, accurate, adapt, addition, address, adept, adherent, adhesive, adjust, admit, admonish, advertisement, affect, agglomerate, aggregate, aggression, allege, allude, ammunition, annectent, approximate, arreption, arride, arrogant, ascend, assault, assimilate, attend, attract"
aden-,gland,Greek,"adenocarcinoma, adenoid, adenoidectomy, adenology, adenoma, adenomyosis, adenosis"
adip-,fat,Latin,"adipocellular, adipose"
aer- (ΑΕΡ),"lift, raise",Greek,"aorta, aortic, endaortitis, meteor, meteorology"
"aer-, aero-","air, atmosphere",Greek,"aerobic, aerodynamic, aeronautics, aeroplane, aerorrhachia, aerosol, aerotitis"
aesth-,"feeling, sensation",Greek,"aesthesia, aesthesis, aesthete, aesthetics, anaesthetic, synesthesia"
"aether-, ether-","upper pure, bright air",Greek,"ether, ethereal, etheric, hypaethros"
"aev-, ev-",age,Latin,"age, coeval, eon, eternal, longevity, medieval, primeval"
"ag-, -ig-, act-","do, go, move",Latin,"act, action, activation, activity, actor, agenda, agent, agile, agitate, ambiguous, castigate, cogent, cogitate, cogitation, deactivate, excogitate, mitigate, navigate, proactive, react, transaction"
ag-,lead,Greek,"agony, antagonist, antagonize, demagogue, pedagogue, pedagogy, strategy, synagogue"
agap-,love,Greek,agape
agr-,field,Greek,"agronomist, agronomy"
"agri-, -egri-",field,Latin,"agriculture, peregrine"
ailur-,cat,Greek,"Ailuroedus, ailuromancy, ailurophile, ailurophilia, ailurophobia"
alac-,cheerful,Latin,"alacrity, allegro"
alb-,dull white,Latin,"albedo, albino, albumen"
alcyon-,kingfisher,Greek,"Halcyon, halcyon"
ale- (ΑΛ),wheat flour,Greek,"aleuromancy, aleurone, aleuronic"
alg-,pain,Greek,"analgesic, arthralgia, neuralgia, nostalgia"
"ali-, alter-",other,Latin,"alias, alibi, alien, alter, alternate, altruism"
all-,other,Greek,"allegory, allogenic, allograph, allophone, parallactic, parallax"
allel-,one another,Greek,"allele, allelomorph, allelotaxis, parallel, parallelism, parallelogon, parallelogram"
alph-,"A, a",Greek,"alphabet, alphabetic, analphabetic, panalphabetic, polyalphabetic"
alphit-,barley,Greek,alphitomancy
alt-,"high, deep",Latin,"altimeter, altitude, alto, altocumulus, contralto, exalt"
"am-, amat-","love, liking",Latin,"amateur, amatory, amenity, amorous, enamoured"
"am-, amic-, - imic-",friend,Latin,"amiable, amicable, amity, enemy, enmity, inimical"
amath-,sand,Greek,amathophobia
"ambi-, am-, amb-, ambo-, an-","both, on both sides",Latin,"ambidexterity, ambient, ambiguous, ambit, ambition, ambivalent, amboceptor, amputation, ancipital, andante"
ambly-,"blunt, not sharp, dull",Greek,"amblygeustia, amblygonite, amblyopia, Amblypoda"
ambul-,walk,Latin,"ambulance, ambulatory, amble, perambulate, preamble, somnambulist"
amm-,sand,Greek,"amathophobia, Ammophila (a plant genus and a wasp genus)"
amn-,lamb,Greek,"amniocentesis, amnion, amnioscope, amniote, amniotic, anamniote"
"amph-, amphi-","both, on both sides of, both kinds",Greek,"amphibian, amphibious, amphibole, amphibolic, amphimacer, Amphipoda, amphistyly, amphitheatre, amphoterism"
ampl-,"ample, abundant, bountiful, large",Latin,"ample, amplify, amplitude"
amygdal-,almond,Greek,"almond, amygdala, amygdale, amygdalin, amygdaloid, amygdule"
"an-, a-, am-, ar-","not, without",Greek,"ambrosia, anaerobic, anarchy, anemia, anesthesia, anhydrous, anonymous, apathy, aphasia, arrhythmia, atheism, atypical"
"ana-, am-, an-","again, against, back, up",Greek,"anagram, anabaptist, anaphylaxis, anarrhexis, anion, anode"
andr- (ΑΝΕΡ),"male, masculine",Greek,"Andrew, Alexander, androcentric, androcentrism, androgen, androgenous, androgyne, androgynous, androgyny, android, andrology, androphobia, androspore, diandry, misandry, monandry, philander, polyandrous, polyandry, protandry, pseudandry, synandrous"
anem- (ΑΝ),wind,Greek,"anemograph, anemometer, anemometric, anemone, anemophilous, anemophily, anemophobia, anemoscope, anemotropism"
anim-,"breath, life, soul, spirit",Latin,"animal, animation, anime, animism, animus, inanimate, equanimity"
"ann-, -enn-","year, yearly",Latin,"anniversary, annual, centennial, millennium, perennial"
"ant-, anti-","against, opposed to, preventive",Greek,"antagonist, antagonize, antibiotic, antibody, antichrist, antidepressant antidote, antifreeze, antifungal, antigen, antinomies, antipathy, antipodes, antirrhinum, antiseptic, antisocial, antithesis"
"ante-, anti-","before, in front of, prior to; old",Latin,"antebellum, antecedent, antedate, antediluvian, anteroom, anticipate, antiquarian, antiquate, antique, antiquity"
anth-,flower,Greek,"anther, anthesis, Anthocoridae, anthodite, anthology, anthophobia, anthophore, Anthozoa, chrysanthemum, dianthus, enanthem, enanthema, exanthem, exanthematic, hydranth, hypanthium, perianth, zoanthid"
anthrac-,coal,Greek,"anthracite, anthracnose, anthracycline, anthrax"
anthrop-,human,Greek,"anthropology, anthroposophy, anthropomorphic, misanthrope, philanthropy"
"ap-, apo-","off, away from, separate, at the farthest point",Greek,"aphelion, apocrine, apocryphal, apogee, aporrhinosis, apostasy, apostate"
aper-,open,Latin,"aperient, apéritif, aperitive, aperture, overt, overture, pert"
aphrod-,Aphrodite,Greek,"aphrodisiac, pseudohermaphroditism"
api-,bee,Latin,"apian, apiary, apicula, apium; Petrus Apianus"
aqu-,water,Latin,"acquacotta, akvavit, aqua vitae, aquaculture, aquamarine, aquarelle, aquarium, Aquarius, aquatic, aquatile, aqueduct, aqueous, aquifer, aquiferous, aquiform, gouache, semiaquatic"
