root,meaning,origin,sample_words
"hab-, -hib-, habit-, -hibit-",have,Latin,"ability, able, debenture, debile, debilitate, debility, debit, debitor, debt, debtor, devoir, disability, disable, disenable, disinhibit, disinhibition, due, duty, enable, enablement, endeavor, exhibit, exhibition, exhibitor, habeas corpus, habendum, habenula, habile, habilitate, hability, habit, habitable, habitance, habitant, habitat, habitation, habitator, habitual, habituate, habituation, habitude, habitudinal, inability, indubitable, inhabile, inhabit, inhabitable, inhabitant, inhabitation, inhibit, inhibition, inhibitory, nonhabitual, prebend, prebendary, prohibit, prohibition, prohibitive, prohibitory, provender, rehabilitant, rehabilitate, rehabilitation, rehabilitative, rehabilitator"
hadr-,thick,Greek,"Hadrocodium, Hadromys, hadron, Hadropithecus, hadrosaur, hadrosaurid"
"haem-, hem-",blood,Greek,"anaemia, anemia, haematemesis, haematopoiesis, haematuria, haemochromatosis, haemophilia, haemophobia, haemoptysis, haemorrhage, haemorrhoid, haemosiderosis, haemostatic, hematocrit, hematogenesis, hematoma, hematophagous, hematophagy, hematopoiesis, hematopoietic, hematuria, hemocoel, hemocyte, hemoglobin, hemoglobinuria, hemophagy, hemophilia, hemophiliac, hemoptysis, hemorrhage, hemorrhagic, hemorrhea, hemorrhoid, hemorrhoidectomy, hemosiderin, hemosiderosis, hemostat, hemotherapy, hyperaemia, hyperemia, hyphaema, hyphema, methemoglobin, methemoglobinemia, microhematuria, microhemorrhage, polycythaemia"
haere-,"choose, take",Greek,"aphaeresis, diaeresis, heresiarch, heresy, heretic, plasmapheresis, synaeresis, syneresis"
hal-,salt,Greek,"halide, halieutic, halite, halochromic, halochromism, halogen, halomancy, halophile, halophyte, oxohalide, thermohaline"
"hal-, -hel-",breathe,Latin,"anhelation, anhele, anhelous, exhalable, exhalant, exhalation, exhale, halitus, inhalable, inhalant, inhalation, inhale"
hapl-,"simple, single",Greek,"haplochromine, haplodiploid, haplodiploidy, haplography, haploid, haplology, haplont, haplontic, haplophase, haplopia, haplosis, haplotype"
"haur-, haust-",draw,Latin,"exhaust, exhaustible, exhaustion, exhaustive, hauriant, haurient, haustellate, haustellum, haustorium, haustrum, inexhaustible, nonexhaustive"
heb-,youth,Greek,"ephebeum, ephebia, ephebiatrics, ephebic, ephebiphobia, ephebophilia, ephebos, hebephilia, hebephobia, hebephrenia, hebetic, hebiatrics, hebophile, hebophilia"
hed- (ΕΔ),sit,Greek,"cathedra, chair, dodecahedron, dodecahemidodecahedron, endohedric, ephedra, exedra, hemipolyhedron, hexahedron, octahedron, pentahedroid, pentahedron, polyhedron, pyritohedron, rhombohedron, sanhedrin, synedrion, tetrahedroid, trapezohedron, trisoctahedron"
hed-,"pleasant, sweet",Greek,"anhedonia, anhedonic, hedonics, hedonism, hedonist, hedonistic, hedonology, hyphedonia"
heg-,lead,Greek,"diegesis, diegetic, eisegesis, exegesis, exegete, exegetic, hegemon, hegemonic, hegemony, hegumen, hypodiegetic, metadiegetic, protohegumen"
heli-,sun,Greek,"aphelion, heliocentric, heliocentrism, heliodor, heliograph, heliolatry, heliomania, heliometer, heliopause, Heliophila, heliophobia, heliophyte, Helios, helioscope, heliosphere, heliostat, heliotherapy, heliotrope, heliotropic, heliotropism, helium, parhelion, perihelion"
helic-,something twisted or spiral,Greek,"anthelix, antihelix, helicine, helicograph, helicoid, helicopter, helicospore, helix"
Hell-,"Greece, Hellas",Greek,"Helladic, Hellenic, Hellenism, Hellenistic"
helminth-,worm,Greek,"anthelmintic, antihelminthic, helminth, helminthic, helminthoid"
helot-,enslaved,Greek,"Helot, helotism, helotry"
hemer-,day,Greek,"Decameron, ephemeral, ephemeris, ephemeron, ephemerous, hemeralopia"
hemer-,tame,Greek,"hemeroby, hemerochora, hemerophile"
hemi-,half,Greek,"anhemitonic, hemiballismus, hemicryptophyte, hemicube, hemicycle, hemidesmosome, hemimelia, hemimetabolic, hemimetabolism, hemimetaboly, hemiparesis, hemiplegia, hemipolyhedron, hemisphere, hemitonic"
hen-,one,Greek,"enosis, enotikon, henad, hendiadys, henotheism, hyphen"
hendec-,eleven,Greek,"hendecagon, hendecagram, hendecagrammic, hendecane, hendecasyllabic, hendecasyllable hendecahedron"
hepat-,liver,Greek,"heparin, hepatic, hepatitis, hepatocyte, hepatology, hepatomancy, hepatoscopy, hepatotoxic, hepatotoxin, hepatotropic"
hept-,seven,Greek,"heptachord, heptagon, heptagram, heptagraph, heptahedron, heptamer, heptameric, heptameter, Heptateuch, heptathlete, heptathlon, heptatonic, heptode"
"her-, heir-",heir,Latin,"heir, heiress, hereditary, heredity, heritage, inherit"
"here-, hes-","cling, stick",Latin,"adhere, adherence, adherend, adherent, adhesion, adhesive, cohere, coherence, coherent, cohesion, cohesive, decoherence, hesitancy, hesitant, hesitate, hesitation, hesitator, incoherent, inhere, inherency, inherent, inhesion, nonadherence, nonadherent, nonadhesive"
herald-,"messenger, envoy",Latin,"herald, heraldic, heraldry"
herb-,grass,Latin,"herbal, herbicide, herbivore"
"heres-, heret-","choose, take",Greek,"heresy, heretic, heretical"
herm-,Hermes,Greek,"herm, hermaphrodite, hermetic"
hermeneu-,"interpret, explain",Greek,"hermeneutic, hermeneutics"
hero-,hero,Greek,"antihero, hero, heroic, heroine, heroism"
herp-,creep,Greek,"herpes, herpetology"
heter-,"different, other",Greek,"heterochromatin, heterodox, heterodoxy, heterogeneity, heterogeneous, heterophobia, heterosexuality, heterosexual, heterosis, heterotic"
heur-,find,Greek,"eureka, heuristic, metaheuristic"
hex-,six,Greek,"hexachord, hexad, hexadic, hexagon, hexagram, hexahedron, hexamer, hexamerous, hexameter, hexapod, hexastyle, hexasyllabic, Hexateuch, hexatonic, hexode, tetrahemihexahedron"
hi-,gape,Latin,"dehisce, dehiscence, dehiscent, hiatal, hiatus, indehiscence, indehiscent, inhiation"
hibern-,wintry,Latin,"hibernacle, hibernaculum, hibernal, hibernate, hibernation, hibernator"
hidrot-,sweat,Greek,"anhidrosis, dyshidrosis, dyshidrotic, hematidrosis, hidrocystoma, hidropoiesis, hidroschesis, hidrosis, hidrotic, hyperhidrosis, hypohidrosis"
hiem-,winter,Latin,hiemal
hier-,"holy, sacred",Greek,"hierarch, hierarchy, hieratic, hierocracy, hierodeacon, hieroglyph, hieroglyphic, hierogram, hierolatry, hieromonk, hierurgy"
hipp-,horse,Greek,"ephippium, hippeis, hippocampus, hippodrome, hippology, Hippolyte, hippomancy, hippophagy, hippophile, hippophobia, hippopotamus, parahippocampus"
hirsut-,hairy,Latin,"hirsute, hirsutulous"
hispid-,bristly,Latin,"hispidity, hispidulous"
histri-,actor,Latin,histrionic
hod-,way,Greek,"anode, cathode, diode, electrode, episode, ergodic, exodos, exodus, heptode, herpolhode, hodograph, hodology,"
hol-,whole,Greek,"catholic, holiatry, holism, holistic, holography, holomorphic, holonomy"
hom-,same,Greek,"homiletic, homily, homogeneous, homograph, homologous, homology, homomorphism, homonym, homophobia, homophone, homosexual, homozygous"
homal-,"even, flat",Greek,"anomalous, anomaly"
homin-,human,Latin,"ad hominem, bonhomie, homage, hombre, homicide, hominid, homuncular, homunculus, human, humane, humanitarian, humanity, inhuman, inhumane, inhumanity, Nemo, nonhuman, omber, ombre, prehuman, subhuman, superhuman, transhuman"
"homoe-, home-","like, similar",Greek,"homeomorphism, homeopathy, homeostasis, homeothermy, homoeopathy, homoiotherm, homoiothermic"
honor-,esteem,Latin,"dishonor, dishonorable, honorable, honorand, honorarium, honorary, honoree, honorific"
hor-,boundary,Greek,"aorist, aphorism, aphorismus, aphorize, diorite, horizon, horopter, horotelic"
hor-,hour,Greek,"horologist, horology, horometry, horoscope"
horm-,that which excites,Greek,"horme, hormephobia, hormesis, hormetic, hormic, hormone"
hort-,garden,Latin,"antecourt, cohort, cortege, court, courteous, courtesan, courtesy, courtier, curtain, curtilage, Curtis, discourteous, discourtesy, frontcourt, horticultural, horticulture"
hospit-,host,Latin,"co-host, hospice, hospitable, hospital, hospitality, host, hostal, hostel, hosteler, hostler, hotel, hotelier, inhospitable, inhospitality"
host-,enemy,Latin,"host, hostile, hostility"
hum-,ground,Latin,"disinhume, exhumation, exhume, humate, humation, humble, humic, humicolous, humiliate, humiliation, humility, humus, inhumation, inhume"
hyal-,glass,Greek,"hyaline, hyaloid"
hybr-,wantonness,Greek,"hubris, hubristic, hybris, hybristic"
hydn-,truffle,Greek,"hydnoid, Hydnum"
hydr-,water,Greek,"clepsydra, dehydrate, hydathode, hydatid, hydatidosis, hydra, hydrant, hydrate, hydraulic, hydraulics, hydrochloric, hydrodynamics, hydroelectric, hydrogen, hydrologist, hydrology, hydrolysis, hydromancy, hydrophile, hydrophilic, hydrophily, hydrophobia, hydrophobic, hydroponic, hydrosphere, hydrostat, hydrostatic, hydrothermic, hydrous, hydrozoa, polyhydric"
hygie-,healthy,Greek,"Hygieia, hygiene, hygienic, hygienics, hygienist"
hygr-,wet,Greek,"hygric, hygroma, hygrometer"
hymen-,skin or membrane,Greek,"hymen, hymenium, hymenomycete, hymenophore, hymenoplasty, Hymenoptera, hymenorrhaphy, hymenotomy"
hyo-,U-shaped,Greek,"hyoid, hyostyly"
"hyp-, hypo-","under , below",Greek,"hyphen, hypoallergenic, hypodermic, hypogene, hypothermia, hypothesis, hypotonic, hypoxemia, hypoxia"
hyper-,"above, over",Greek,"hyper, hyperbaric, hyperbola, hyperbole, Hyperion, hyperlink, hyperoxia, hyperpyrexia, hyperthermia, hypertonic"
hyph-,weave,Greek,"hypha, hyphomycete, hyphopodium"
hypn-,sleep,Greek,"hypnagogia, hypnagogic, hypnolepsy, hypnophobia, hypnopompia, hypnopompic, hypnosis, hypnotherapy, hypnotic, hypnotist, hypnotize"
hyps-,height,Greek,"hypsography, hypsometer, hypsophobia"
hys-,hog,Greek,"hyena, hyenoid"
hyster-,womb,Greek,"hysteralgia, hysteratresia, hysterectomy, hysteria, hysteric, hysterosalpingography"
hyster-,later,Greek,"hysteresis, hysteretic, hysteron proteron"
i-,go,Greek,"anion, anionic, cation, cationic, ion, ionic, ionize, polyanion, polycation"
iatr-,heal,Greek,"iatrogenic, physiatry, podiatrist, podiatry, psychiatrist, psychiatry"
ichthy-,fish,Greek,"ichthyology, Ichthyophaga, ichthyophobia, ichthyoplankton, ichthyosis; (spelt icthy-) Icthyophaga"
icos-,twenty,Greek,"hemi-icosahedron, icosagon, icosahedron"
icter-,jaundice,Greek,"icteric, icterogenic, icterohemorrhagic, icterohepatitis, icteroid, icterus"
id- (ϜΙΔ),"shape, form, picture",Greek,"eidetic, eidolon, eidos, idol, idolater, idolatry, idyll, idyllic, idyllist, pareidolia"
ide-,"idea, thought",Greek,"ideogram, ideologue, ideology"
idi-,"own, peculiarity",Greek,"idiolect, idiom, idiopathic, idiopathy, idiophone, idiosyncrasy, idiosyncratic, idiot, idiotic"
ign-,fire,Latin,"igneous, ignite, ignition"
ignorare-,"not to know, to be unacquainted; mistake, misunderstand",Latin,"ignore, ignorant, ignorance"
imagin-,copy,Latin,"image, imagine"
imbr-,heavy rain,Latin,"ignimbrite, imbrex, imbricate, imbrication, imbriferous"
in-,sinew,Greek,"inion, inotrope, inotropic"
"in- (1), il-, im-","in, on",Latin,"illuminate, import, incur, intend, invite"
"in- (2), il-, im-, ir-","not, un- (negation)",Latin,"illicit, impossible, inimical, insane, irrational"
inan-,"empty, vain",Latin,"inane, inanition, inanity"
infra-,"below, under",Latin,"infrared, infrastructure"
insul-,island,Latin,"insular, insulation"
