root,meaning,origin,sample_words
pac-,peace,Latin,"appease, Pacific, pacify, pay"
pach-,thick,Greek,"pachydermata, pachyglossia, pachynsis, Pachypodium"
pact-,fasten,Latin,"compact, impact, impaction, impinge, page, propagate"
pact-,agreement,Latin,pact
pae-,strike,Greek,"anapaest, anapaestic, anapest, anapestic"
"paed-, ped-",child,Greek,"orthopedic, paediatric, paedogenesis, paedomorphism, page, pedagogue, pedagogy, pedant, pedantic, pediatric, pedodontics, pedophilia"
pagin-,page,Latin,pagination
pal-,stake,Latin,"impale, impalement, pale, palisade, pole, travail, travel"
"palae-, pale-","ancient, old",Greek,"paleo diet, paleobiology, paleobotanic, Paleocene, Paleogene, Paleolithic, paleology, paleomagnetism, paleontology, paleopolyploidy, paleopsychology, Paleozoic"
"palin-, palim-",back,Greek,"palimpsest, palindrome, palingenesis, palinspastic"
pall-,be pale,Latin,"pallid, pallor"
palli-,cloak,Latin,"pall, palliate, palliative, pallium"
palm-,palm,Latin,palmate
palp-,touch,Latin,"palp, palpable, palpate, palpation, palpitant, palpitation"
palustr-,in marshes,Latin,palustral
pan-,Pan,Greek,panic
"pan-, pam-",all,Greek,"diapason, panacea, pandemic, pandemonium, panoply, panoptic, pantology, parrhesia"
pan-,bread,Latin,"accompaniment, accompany, appanage, companion, company, empanada, impanate, impanation, panelle, panetela, panetella, panettone, panivorous, pannier, pantry"
"pand-, pans-",spread,Latin,"compass, dispand, dispansion, encompass, encompassment, expand, expanse, expansion, expansive, expansivity, impassable, impasse, pace, pandiculate, pandiculation, passus, repand, spawn, subrepand"
"par-, para-","beside, near",Greek,"parable, parabola, parallel, parallelepiped, parameter, parapagus, paradox, parody"
par-,equal,Latin,"compare, disparage, par, parity, peer, subpar"
par-,"order, prepare, provide, procure",Latin,"apparat, apparatus, co-emperor, comprador, disparate, disrepair, dissever, disseverance, emperor, empery, empire, empress, imperant, imperative, imperator, imperious, inseparable, irreparable, parade, pare, parison, parry, parure, preparation, preparative, preparatory, prepare, repair, reparable, reparation, reparative, separability, separable, separate, separation, separative, separator, separatory, separatrix, sever, severability, severable, several, severance, vituperate"
"parc-, pars-","spare, save",Latin,"parcity, parsimonious, parsimony"
pariet-,wall,Latin,parietal
part-,part,Latin,"apart, bipartite, compartment, depart, impartial, parcel, part, partial, participate, particle, partisan, partition"
parthen-,virgin,Greek,"parthenocarpy, parthenogenesis, Parthenon, Parthenope"
parv-,little,Latin,"parvovirus, parvorder"
"pasc-, past-",feed,Latin,"antepast, antipasto, pabulum, pastel, pastern, pastiglia, pastille, pastor, pastorage, pastoral, pastorale, pastorate, pastorium, pasturable, pasturage, pastural, pasture, repast, repasture"
pass-,sprinkle,Greek,paste
pass-,"pace, step",Latin,
passer-,sparrow,Latin,"passeriform, passerine"
pat-,path,Greek,"peripatetic, peripateticism"
pat-,be open,Latin,"impatent, patefaction, patella, patellar, patelliform, paten, patency, patent, patera, patin"
path-,"feeling, disease",Greek,"allopath, allopathy, antipathy, apathetic, apathy, empathy, etiopathogenesis, homeopathic, homeopathy, idiopathic, pathetic, pathoclisis, pathogen, pathogenesis, pathogenic, pathologist, pathology, pathos, psychopath, psychopathic, psychopathy, sympathectomy, sympathetic, sympathy"
"pater-, patr-",father,Greek,"allopatric, allopatry, eupatrides, patriarch, patriarchy, patriot, patriotic, patriotism, patrology, patronym, patronymic, sympatric, sympatry"
"pater-, patr-",father,Latin,"compadre, compaternity, compère, impetrate, impetration, impetrative, impetrator, Jupiter, padre, padrone, paterfamilias, paternal, paternity, paternoster, patriate, patriation, Patricia, patrician, patriciate, patricidal, patricide, Patrick, patriclinous, patricliny, patrifocal, patrilateral, patrilineage, patrilineal, patrilineality, patrilinear, patrilocal, patrilocality, patrimonial, patrimony, patron, patronage, patronal, patronate, patroness, patroon, patter, pattern, père, perpetrable, perpetrate, perpetration, perpetrator, repatriate, repatriation"
"pati-, pass-","suffer, feel, endure, permit",Latin,"compassion, compassionate, compatibility, compatible, dispassion, dispassionate, impassible, impassion, impassive, impassivity, impatible, impatience, impatient, incompatibility, incompatible, interpatient, noncompatible, nonpassible, passibility, passible, passion, passional, passionary, passionate, passive, passivity, patible, patience, patient, patientive, perpession"
pauc-,few,Latin,"paucal, pauciloquent, paucity"
pav-,beat,Latin,"pavage, pave, pavement, pavior"
pecc-,sin,Latin,"impeccable, peccadillo, peccant, peccavi"
pect-,fixed,Greek,"pectic, pectin"
pector-,chest,Latin,"pectoral, expectorate"
pecu-,property,Latin,"peculiar, pecuniary, pecunious"
ped-,foot,Latin,"biped, bipedal, centipedal, centipede, decempedal, expediency, expedient, expeditate, expedite, expedition, expeditionary, expeditious, impeach, impeachable, impeachment, impede, impediment, impedition, impeditive, inexpedient, interpetiolar, intrapetiolar, millipede, multiped, multipede, octopede, oppidum, pawn, pedal, pedate, pedatifid, pedestal, pedestrian, pedicel, pedicle, pedicure, pediform, pedigerous, pedigree, peduncle, pedunculate, peon, peonage, petiolar, petiolate, petiole, petiolular, petiolulate, petiolule, piedfort, piedmont, pioneer, quadruped, quadrupedal, repedation, revamp, semiped, semipedal, sesquipedal, stapes, stapedius, subpetiolate, suppedaneum, tripedal, trivet, vamp, velocipede"
"peg-, pect-",fix,Greek,"hysteropexy, pagophobia, parapagus, pectic, pectin, rheopectic, rheopecty, rheopexy"
