greek_prefix,latin_prefix,meaning,examples
"mono-","uni-",1,"monotone, monopoly, monologue, monogamy, monochrome, monograph, monomial, monotheism, universe, uniform, unicorn"
"di-","bi-, du-, duo-",2,"biology, bicycle, dichotomy, bilingual, binary, bimonthly, binoculars, duo, duet, duel"
"tri-","tri-",3,"tricycle, triad, triathlon, triangle, tripod, triumvirate, triple"
"tetra-","quadri-, quart-",4,"tetrameter, quadrilateral, quadriplegic, quadrangle, quadruple, quarter, quarterly, quartet, quartile"
"penta-","quin-",5,"pentameter, pentagon, quintet, quintuplet, quintuplicate"
"hexa-","sext-",6,"hexagon, hexameter, sextuplet, sextet, sextagenarian"
"hepta-","septem-, septi-",7,"heptagon, heptameter, septuagenarian"
"octo-","octa-, oct-",8,"octagon, octogenarian, octopus, octahedron, octant"
"ennea-","novem-",9,"novena"
"deca-, deci-, decem-","",10,"decade, decagon, decahedron, decalogue, decimal, decibel"
"hemi-","semi-",half,"hemisphere, semicircle, semicolon, semifinal, semiannual, semester, semisweet"
"poly-","multi-",many,"polygon, polygamy, polyester, polymer, polynomial, multiply, multifaceted, multilingual, multitude, multivitamin, multiple"
"hecto-","cent-, cente-",100,"cent, centennial, centurion, centipede, centenary"
"kilo-","milli-, mille-",1000,"kilogram, kilometer, kilobyte, milligram, millisecond, millennium"
